userid,vroot
10002,Knowledge Base|/kb
15285,Internet Site Construction for Developers|/sitebuilder
15286,VBScript Development|/vbscript
15287,Free Downloads|/msdownload
15291,Internet Explorer|/ie
15292,Free Downloads|/msdownload
15292,Internet Site Construction for Developers|/sitebuilder
15292,France|/france
15293,Support Desktop|/support
15294,Java Strategy and Info|/java
15294,Internet Site Construction for Developers|/sitebuilder
15295,Microsoft Financial Forum|/msft
15296,Microsoft.com Search|/search
15297,Internet Explorer|/ie
15298,MS Office Info|/office
15299,Internet Explorer|/ie
15301,Free Downloads|/msdownload
15301,Products |/products
15306,Windows 95|/windows95
15309,Windows95 Support|/windowssupport
15312,regwiz|/regwiz
15312,Products |/products
15313,Free Downloads|/msdownload
15315,VBA Development|/vba
15319,ActiveX Technology Development|/activex
15319,Internet Information Server|/iis
15319,OLE Development|/oledev
15327,Internet Explorer|/ie
15328,Microsoft.com Search|/search
15345,Internet Site Construction for Developers|/sitebuilder
15347,France|/france
15348,WorldWide Offices - US Districts|/usa
15349,MS in K-12 Education|/k-12
15350,Free Downloads|/msdownload
15350,Developer Network|/msdn
15352,Office Reference|/officereference
15354,MS Office Info|/office
15354,SQL Server|/sql
15358,Training|/train_cert
15359,Internet Explorer|/ie
15360,Products |/products
15363,Free Downloads|/msdownload
15364,Windows NT Server|/ntserver
15365,Web Site Builder's Gallery|/gallery
15365,Channel Resources|/channel_resources
15368,isapi|/isapi
15369,Internet Site Construction for Developers|/sitebuilder
15373,isapi|/isapi
15376,Windows Family of OSs|/windows
15377,Colombia|/colombia
15377,Latin America Region|/latam
15378,Knowledge Base|/kb
15378,isapi|/isapi
15380,Microsoft.com Search|/search
15384,Internet Explorer|/ie
15387,Microsoft.com Search|/search
15387,isapi|/isapi
15387,Poland|/poland
15387,Developer Media Development|/mediadev
15389,End User Produced View|/athome
15390,Netherlands (Holland)|/netherlands
15391,Windows NT Server|/ntserver
15391,Internet Information Server|/iis
15392,Free Downloads|/msdownload
15392,Internet Explorer|/ie
15393,Support Desktop|/support
15395,MS Word News|/word
15396,Windows Family of OSs|/windows
15400,Windows Family of OSs|/windows
15402,Knowledge Base|/kb
15402,Microsoft.com Search|/search
15402,N. American Automap|/automap
15404,Internet Site Construction for Developers|/sitebuilder
15404,Products |/products
15405,Free Downloads|/msdownload
15406,Internet Information Server|/iis
15407,Knowledge Base|/kb
15410,Internet Explorer|/ie
15411,Products |/products
15411,Internet Explorer|/ie
15411,isapi|/isapi
15414,Windows 95|/windows95
15417,Office Free Stuff|/officefreestuff
15417,N. American Automap|/automap
15419,Windows95 Support|/windowssupport
15419,Products |/products
15420,isapi|/isapi
15422,Free Downloads|/msdownload
15424,International IE content|/ie_intl
15425,isapi|/isapi
15426,Internet Explorer|/ie
15427,Products |/products
15428,Free Downloads|/msdownload
15431,Microsoft.com Search|/search
15431,Advanced Technology|/advtech
15432,Internet Site Construction for Developers|/sitebuilder
15433,Windows 32 bit developer|/win32dev
15434,Free Downloads|/msdownload
15434,Windows NT Server|/ntserver
15434,NT Server Support|/ntserversupport
15435,Java Strategy and Info|/java
15441,Microsoft.com Search|/search
15442,Windows Family of OSs|/windows
15442,Games|/games
15445,Developer Workshop|/workshop
15446,Products |/products
15447,Support Desktop|/support
15448,Products |/products
15450,Internet Development|/intdev
15452,MS Office Info|/office
15458,Microsoft.com Search|/search
15463,Free Downloads|/msdownload
15464,Products |/products
15464,Microsoft.com Search|/search
15465,Mac Office Support|/macofficesupport
15466,Microsoft.com Search|/search
15466,France|/france
15468,Web Site Builder's Gallery|/gallery
15468,Typography Site|/truetype
15469,Executive Computing|/cio
15469,Connecting Small Business|/smallbiz
15472,Free Downloads|/msdownload
15473,MS Word|/msword
15474,Windows95 Support|/windowssupport
15474,Windows Family of OSs|/windows
15474,isapi|/isapi
15476,isapi|/isapi
15477,Support Desktop|/support
15479,Products |/products
15480,ActiveX Technology Development|/activex
15482,UK|/uk
15484,Free Downloads|/msdownload
15489,isapi|/isapi
15493,Free Downloads|/msdownload
15496,MS Money Information|/moneyzone
15500,Free Downloads|/msdownload
15501,Executive Computing|/cio
15502,Windows Family of OSs|/windows
15504,Products |/products
15504,Windows NT Workstation|/ntworkstation
15505,Internet Explorer|/ie
15507,Free Downloads|/msdownload
15507,Internet Explorer|/ie
15507,FrontPage|/frontpage
15510,Developer Workshop|/workshop
15511,Web Site Builder's Gallery|/gallery
15512,Support Desktop|/support
15513,Internet Explorer|/ie
15515,Microsoft.com Search|/search
15517,Windows Family of OSs|/windows
15518,Windows Family of OSs|/windows
15521,isapi|/isapi
15525,Free Downloads|/msdownload
15525,Internet Explorer|/ie
15526,Free Downloads|/msdownload
15527,MS Office|/msoffice
15528,Internet Site Construction for Developers|/sitebuilder
15530,Internet Explorer|/ie
15538,Support Desktop|/support
15538,N. American Automap|/automap
15540,Microsoft.com Search|/search
15544,Web Site Builder's Gallery|/gallery
15545,Microsoft.com Search|/search
15549,Windows Family of OSs|/windows
15549,Products |/products
15554,Windows95 Support|/windowssupport
15554,Knowledge Base|/kb
15555,Microsoft.com Search|/search
15557,Microsoft.com Search|/search
15558,MS Word News|/word
15562,NetMeeting|/netmeeting
15566,Microsoft.com Search|/search
15569,Windows NT Server|/ntserver
15573,Support Desktop|/support
15575,Web Site Builder's Gallery|/gallery
15579,Jakarta|/visualj
15580,Free Downloads|/msdownload
15581,Windows95 Support|/windowssupport
15581,Knowledge Base|/kb
15584,IE Support|/iesupport
15584,isapi|/isapi
15585,Free Downloads|/msdownload
15585,International IE content|/ie_intl
15587,Products |/products
15588,Jakarta|/visualj
15590,Web Site Builder's Gallery|/gallery
15591,Free Downloads|/msdownload
15594,Free Downloads|/msdownload
15594,Internet Explorer|/ie
15599,Visual Basic|/vbasic
15599,VBA Development|/vba
15599,Knowledge Base|/kb
15601,Free Downloads|/msdownload
15603,isapi|/isapi
15606,Products |/products
15611,Windows NT Server|/ntserver
15613,Windows Family of OSs|/windows
15613,OLE Development|/oledev
15614,Internet Explorer|/ie
15615,MS Proxy Server|/proxy
15615,Intranet Strategy|/intranet
15615,Developer Media Development|/mediadev
15616,Microsoft.com Search|/search
15617,Internet Site Construction for Developers|/sitebuilder
15620,Corporate Desktop Evaluation|/organizations
15620,MS Office Info|/office
15621,Internet Explorer|/ie
15623,Free Downloads|/msdownload
15625,Office Free Stuff News|/off97cat
15625,isapi|/isapi
15625,OutLook|/outlook
15626,Internet Explorer|/ie
15627,Job Listings for Pre-Grads|/college
15630,Internet Explorer|/ie
15631,Web Site Builder's Gallery|/gallery
15633,End User Produced View|/athome
15634,Free Downloads|/msdownload
15635,MS in Education|/education
15636,Support Desktop|/support
15640,Free Downloads|/msdownload
15640,Microsoft.com Search|/search
15640,Internet Explorer|/ie
15642,Windows Family of OSs|/windows
15644,Sales Information (infobase)|/salesinfo
15644,Support Desktop|/support
15646,Free Downloads|/msdownload
15646,International IE content|/ie_intl
15647,Clip Gallery Live|/clipgallerylive
15648,NetMeeting|/netmeeting
15649,Developer Workshop|/workshop
15650,VBA Development|/vba
15650,Windows Family of OSs|/windows
15651,Internet Service Providers|/isp
15652,Microsoft.com Search|/search
15656,Windows Family of OSs|/windows
15657,Windows 95|/windows95
15657,Products |/products
15658,MS in Education|/education
15661,Free Downloads|/msdownload
15662,Developer Workshop|/workshop
15663,MS Site Builder Workshop|/activeplatform
15663,Windows 95|/windows95
15664,Free Downloads|/msdownload
15665,isapi|/isapi
15667,Knowledge Base|/kb
15668,Knowledge Base|/kb
15670,Internet Site Construction for Developers|/sitebuilder
15671,Internet Explorer|/ie
15672,Office Reference|/officereference
15674,Support Desktop|/support
15678,Windows Family of OSs|/windows
15678,MS Word News|/word
15678,Support Desktop|/support
15678,isapi|/isapi
15681,isapi|/isapi
15681,Free Downloads|/msdownload
15682,NT Workstation Support|/ntwkssupport
15682,Windows NT Workstation|/ntworkstation
15682,Support Desktop|/support
15684,Microsoft.com Search|/search
15686,Products |/products
15687,Microsoft.com Search|/search
15688,Internet Site Construction for Developers|/sitebuilder
15694,Free Downloads|/msdownload
15695,Free Downloads|/msdownload
15695,Games|/games
15696,Free Downloads|/msdownload
15697,isapi|/isapi
15698,MS Office Info|/office
15698,FrontPage|/frontpage
15699,Microsoft.com Search|/search
15700,Developer Network|/msdn
15700,Products |/products
15700,Windows95 Support|/windowssupport
15700,Support Desktop|/support
15701,Games|/games
15706,WorldWide Offices - US Districts|/usa
15707,Free Downloads|/msdownload
15708,Germany|/germany
15708,Games|/games
15710,MS Office Info|/office
15711,Products |/products
15713,Products |/products
15715,Free Downloads|/msdownload
15715,SP Referral (ART)|/referral
15716,Web Site Builder's Gallery|/gallery
15718,isapi|/isapi
15719,Internet Explorer|/ie
15721,Free Downloads|/msdownload
15721,MS Word|/msword
15721,MS PowerPoint News|/powerpoint
15726,Free Downloads|/msdownload
15727,Support Desktop|/support
15728,Free Downloads|/msdownload
15730,MS Office Support|/msofficesupport
15730,MS Office|/msoffice
15730,Products |/products
15731,Microsoft.com Search|/search
15735,Developer Network|/msdn
15736,isapi|/isapi
15739,MS Word News|/word
15742,sports|/sports
15746,Free Downloads|/msdownload
15748,MS Project|/project
15752,Microsoft.com Search|/search
15754,Windows Family of OSs|/windows
15756,Job Openings|/jobs
15757,MS in Education|/education
15759,Internet Site Construction for Developers|/sitebuilder
15760,NT Workstation Support|/ntwkssupport
15763,Support Desktop|/support
15763,isapi|/isapi
15766,Jakarta|/visualj
15767,NT Server Support|/ntserversupport
15768,Support Desktop|/support
15773,Free Downloads|/msdownload
15774,isapi|/isapi
15776,Microsoft.com Search|/search
15776,Free Downloads|/msdownload
15776,Internet News|/internet
15780,Free Downloads|/msdownload
15782,Internet Explorer|/ie
15785,Windows95 Support|/windowssupport
15785,Knowledge Base|/kb
15788,Windows Family of OSs|/windows
15790,Internet Explorer|/ie
15791,Windows Family of OSs|/windows
15792,MS Office|/msoffice
15799,Products |/products
15800,MS Office|/msoffice
15802,Internet Explorer|/ie
15804,MS Office Info|/office
15809,Products |/products
15810,NT Workstation Support|/ntwkssupport
15810,Support Desktop|/support
15812,Internet Explorer|/ie
15815,Support Desktop|/support
15817,Free Downloads|/msdownload
15820,isapi|/isapi
15820,Visual InterDev|/vinterdev
15820,Internet Explorer|/ie
15822,Web Site Builder's Gallery|/gallery
15830,Internet Explorer|/ie
15833,Windows 95|/windows95
15834,Windows Family of OSs|/windows
15834,Support Desktop|/support
15834,Knowledge Base|/kb
15835,Microsoft.com Search|/search
15839,FrontPage|/frontpage
15840,Free Downloads|/msdownload
15846,Internet Explorer|/ie
15848,Office Free Stuff|/officefreestuff
15849,Clip Gallery Live|/clipgallerylive
15851,Internet Explorer|/ie
15852,Internet Site Construction for Developers|/sitebuilder
15855,Free Downloads|/msdownload
15858,Java Strategy and Info|/java
15859,Repository|/repository
15859,Internet Development|/intdev
15859,Visual Studio|/vstudio
15859,isapi|/isapi
15860,Microsoft Home|/mshome
15860,Games|/games
15863,NT Workstation Support|/ntwkssupport
15865,Internet Explorer|/ie
15867,MS Office|/msoffice
15868,Web Site Builder's Gallery|/gallery
15870,Internet Site Construction for Developers|/sitebuilder
15870,Support Desktop|/support
15871,Free Downloads|/msdownload
15872,Germany|/germany
15881,Microsoft.com Search|/search
15885,Free Downloads|/msdownload
15888,Windows Family of OSs|/windows
15889,Internet Explorer|/ie
15892,Visual Basic|/vbasic
15896,Industry Marketing Information (Vertical)|/industry
15896,Internet Explorer|/ie
15896,Microsoft.com Search|/search
15897,Java Strategy and Info|/java
15899,Executive Computing|/cio
15899,Support Desktop|/support
15899,NT Server Support|/ntserversupport
15900,Microsoft Press|/mspress
15903,Windows95 Support|/windowssupport
15903,isapi|/isapi
15906,Free Downloads|/msdownload
15906,Typography Site|/truetype
15915,Internet Explorer|/ie
15918,Spain|/spain
15919,Windows95 Support|/windowssupport
15919,promo|/promo
15919,Games|/games
15922,Windows NT Workstation|/ntworkstation
15924,Internet Explorer|/ie
15928,Internet Explorer|/ie
15929,Office Free Stuff|/officefreestuff
15929,isapi|/isapi
15929,Windows Family of OSs|/windows
15929,Knowledge Base|/kb
15931,Job Openings|/jobs
15938,regwiz|/regwiz
15938,Developer Network|/msdn
15940,Games|/games
15944,Support Desktop|/support
15945,Microsoft.com Search|/search
15946,Free Downloads|/msdownload
15950,Czech Republic|/cze
15951,Job Openings|/jobs
15953,Internet Explorer|/ie
15954,Support Network Program Information|/supportnet
15955,Visual C|/visualc
15958,regwiz|/regwiz
15958,Macintosh Office|/macoffice
15960,MS Office Info|/office
15962,regwiz|/regwiz
15965,Sweden|/sverige
15970,End User Produced View|/athome
15974,Internet Explorer|/ie
15977,Free Downloads|/msdownload
15979,Internet Site Construction for Developers|/sitebuilder
15979,Internet Explorer|/ie
15980,Internet Site Construction for Developers|/sitebuilder
15980,Visual Studio|/vstudio
15989,Industry Marketing Information (Vertical)|/industry
15992,Free Downloads|/msdownload
15993,Web Site Builder's Gallery|/gallery
15996,Knowledge Base|/kb
15996,Microsoft.com Search|/search
15998,Exchange|/exchange
15998,Products |/products
15998,Knowledge Base|/kb
15998,Support Desktop|/support
16001,Games|/games
16002,Knowledge Base|/kb
16003,Corporate Desktop Evaluation|/organizations
16003,MS Office Info|/office
16005,Microsoft.com Search|/search
16011,Free Downloads|/msdownload
16011,Windows95 Support|/windowssupport
16011,Knowledge Base|/kb
16011,isapi|/isapi
16012,Products |/products
16012,Microsoft.com Search|/search
16012,Internet Explorer|/ie
16014,Free Downloads|/msdownload
16015,Support Desktop|/support
16016,Internet Explorer|/ie
16016,Latin America Region|/latam
16019,Internet Explorer|/ie
16020,Support Network Program Information|/supportnet
16020,International IE content|/ie_intl
16021,Support Desktop|/support
16022,Internet Explorer|/ie
16023,Knowledge Base|/kb
16024,Free Downloads|/msdownload
16024,Training|/train_cert
16024,isapi|/isapi
16026,Microsoft.com Search|/search
16027,Free Downloads|/msdownload
16029,Games Support|/gamessupport
16029,Microsoft.com Search|/search
16031,Internet Explorer|/ie
16033,Internet Explorer|/ie
16035,Free Downloads|/msdownload
16035,Internet Explorer|/ie
16038,Windows95 Support|/windowssupport
16042,Free Downloads|/msdownload
16042,Developer Workshop|/workshop
16043,Windows 95|/windows95
16043,Microsoft.com Search|/search
16044,Exchange Support|/exchangesupport
16044,Windows Family of OSs|/windows
16049,Internet Explorer|/ie
16049,Microsoft.com Search|/search
16056,Windows95 Support|/windowssupport
16058,Internet Site Construction for Developers|/sitebuilder
16063,Microsoft.com Search|/search
16065,Internet Explorer|/ie
16067,Internet Explorer|/ie
16068,Windows Family of OSs|/windows
16069,Visual Basic|/vbasic
16069,Products |/products
16072,Games|/games
16073,Windows Family of OSs|/windows
16073,Products |/products
16076,Free Downloads|/msdownload
16076,Internet Explorer|/ie
16078,Free Downloads|/msdownload
16078,Internet Explorer|/ie
16080,Internet Explorer|/ie
16083,Products |/products
16088,Germany|/germany
16089,Free Downloads|/msdownload
16091,Windows95 Support|/windowssupport
16091,Connecting Small Business|/smallbiz
16092,Internet Explorer|/ie
16093,Developer Network|/msdn
16094,Developer Workshop|/workshop
16095,Microsoft.com Search|/search
16097,WorldWide Offices - US Districts|/usa
16098,Clip Gallery Live|/clipgallerylive
16101,Free Downloads|/msdownload
16106,Free Downloads|/msdownload
16107,Free Downloads|/msdownload
16107,Windows Family of OSs|/windows
16108,Free Downloads|/msdownload
16110,Internet Explorer|/ie
16112,Internet Explorer|/ie
16114,Microsoft.com Search|/search
16119,isapi|/isapi
16125,Developer Network|/msdn
16125,NT Workstation Support|/ntwkssupport
16125,For Developers Only News|/devnews
16125,Support Desktop|/support
16128,Microsoft.com Search|/search
16131,Windows95 Support|/windowssupport
16132,FrontPage|/frontpage
16137,Free Downloads|/msdownload
16137,Windows Family of OSs|/windows
16139,MS Publisher|/publisher
16142,isapi|/isapi
16144,Corporate Desktop Evaluation|/organizations
16147,Corporate Desktop Evaluation|/organizations
16148,Free Downloads|/msdownload
16152,Windows 95|/windows95
16152,Knowledge Base|/kb
16159,Products |/products
16159,Microsoft.com Search|/search
16163,Free Downloads|/msdownload
16166,Germany|/germany
16166,India|/india
16167,Support Desktop|/support
16169,Windows 95|/windows95
16169,Microsoft.com Search|/search
16169,Windows NT Developer Support|/win32devsupport
16170,Developer Network|/msdn
16170,MS Access|/access
16170,Internet Site Construction for Developers|/sitebuilder
16170,Microsoft.com Search|/search
16171,isapi|/isapi
16175,isapi|/isapi
16176,Internet Information Server|/iis
16177,regwiz|/regwiz
16178,Belgium|/belgium
16178,Internet Explorer|/ie
16180,Internet Explorer|/ie
16181,Windows 95|/windows95
16182,Windows 95|/windows95
16182,Products |/products
16190,Microsoft.com Search|/search
16191,Internet Development|/intdev
16191,Developer Workshop|/workshop
16192,Free Downloads|/msdownload
16192,MS Office|/msoffice
16192,Products |/products
16192,isapi|/isapi
16194,IT Technical Information|/syspro
16196,Microsoft.com Search|/search
16197,regwiz|/regwiz
16200,Visual C|/visualc
16201,Corporate Desktop Evaluation|/organizations
16201,Games|/games
16202,Internet Explorer|/ie
16204,SQL Server|/sql
16204,Products |/products
16204,Support Desktop|/support
16207,Microsoft Press|/mspress
16207,Microsoft.com Search|/search
16209,Windows Family of OSs|/windows
16217,Free Downloads|/msdownload
16217,Products |/products
16221,Exchange|/exchange
16221,BackOffice|/backoffice
16222,SQL Server|/sql
16222,Products |/products
16222,regwiz|/regwiz
16222,Jakarta|/visualj
16225,Free Downloads|/msdownload
16225,MS Proxy Server|/proxy
16226,MS Word News|/word
16227,Developer Workshop|/workshop
16228,isapi|/isapi
16229,End User Produced View|/athome
16233,MS Office Info|/office
16233,promo|/promo
16238,Windows95 Support|/windowssupport
16239,Microsoft.com Search|/search
16241,Free Downloads|/msdownload
16242,Windows NT Server|/ntserver
16242,Windows Family of OSs|/windows
16242,Microsoft.com Search|/search
16247,Free Downloads|/msdownload
16247,Internet Site Construction for Developers|/sitebuilder
16248,isapi|/isapi
16254,MSHome Kids Stuff|/kids
16258,Free Downloads|/msdownload
16263,Microsoft.com Search|/search
16264,MS Site Builder Workshop|/activeplatform
16265,Windows Family of OSs|/windows
16265,Internet Explorer|/ie
16266,End User Produced View|/athome
16268,Free Downloads|/msdownload
16272,Free Downloads|/msdownload
16272,Windows Family of OSs|/windows
16273,Internet Explorer|/ie
16275,Free Downloads|/msdownload
16275,Windows Family of OSs|/windows
16275,isapi|/isapi
16276,Visual Basic|/vbasic
16276,Visual Studio|/vstudio
16276,Internet Explorer|/ie
16277,Products |/products
16281,Windows NT Server|/ntserver
16281,Australia|/australia
16282,Microsoft.com Search|/search
16283,Corporate Desktop Evaluation|/organizations
16284,Works Support|/workssupport
16285,Support Desktop|/support
16286,isapi|/isapi
16290,Free Downloads|/msdownload
16292,Internet Security Framework|/security
16294,IE Support|/iesupport
16294,N. American Automap|/automap
16297,Support Desktop|/support
16297,Developer Workshop|/workshop
16300,Knowledge Base|/kb
16300,isapi|/isapi
16303,Internet Site Construction for Developers|/sitebuilder
16305,Products |/products
16308,Product Catalog|/catalog
16310,Internet Explorer|/ie
16319,MS in Education|/education
16322,Internet Explorer|/ie
16324,Products |/products
16324,Internet Site Construction for Developers|/sitebuilder
16326,Typography Site|/truetype
16329,Web Site Builder's Gallery|/gallery
16331,Knowledge Base|/kb
16332,Excel|/msexcel
16332,isapi|/isapi
16333,MS Office|/msoffice
16336,Products |/products
16338,Internet Site Construction for Developers|/sitebuilder
16338,Jakarta|/visualj
16338,Internet Explorer|/ie
16338,Visual Studio|/vstudio
16340,Internet Site Construction for Developers|/sitebuilder
16340,Internet Explorer|/ie
16343,Internet News|/internet
16348,Microsoft Press|/mspress
16349,Internet Service Providers|/isp
16350,FrontPage Support|/frontpagesupport
16357,Microsoft.com Search|/search
16358,Products |/products
16361,Internet Explorer|/ie
16362,Products |/products
16364,MS Site Builder Workshop|/activeplatform
16365,SiteBuilder Network Membership|/sbnmember
16366,Web Site Builder's Gallery|/gallery
16368,Internet Explorer|/ie
16374,Free Downloads|/msdownload
16377,SiteBuilder Network Membership|/sbnmember
16377,Internet Service Providers|/isp
16377,Support Desktop|/support
16379,Web Site Builder's Gallery|/gallery
16379,Internet Explorer|/ie
16381,IE Support|/iesupport
16381,Support Desktop|/support
16384,Free Downloads|/msdownload
16384,Internet Site Construction for Developers|/sitebuilder
16384,Developer Workshop|/workshop
16385,Products |/products
16385,FrontPage|/frontpage
16387,Support Desktop|/support
16389,Support Desktop|/support
16390,MS Office Info|/office
16390,Australia|/australia
16391,Developer Network|/msdn
16393,SP Referral (ART)|/referral
16393,Internet Explorer|/ie
16397,Windows 95|/windows95
16401,Free Downloads|/msdownload
16405,Windows Family of OSs|/windows
16411,Free Downloads|/msdownload
16412,Windows 95|/windows95
16413,Support Desktop|/support
16414,Products |/products
16414,Support Desktop|/support
16419,Java Strategy and Info|/java
16422,Free Downloads|/msdownload
16423,Windows95 Support|/windowssupport
16423,Free Downloads|/msdownload
16425,Free Downloads|/msdownload
16427,Training|/train_cert
16427,Windows Family of OSs|/windows
16427,MS Word|/msword
16428,Corporate Desktop Evaluation|/organizations
16431,Office Free Stuff|/officefreestuff
16434,Windows CE|/windowsce
16438,isapi|/isapi
16440,MS Office Info|/office
16440,Support Desktop|/support
16445,isapi|/isapi
16446,Knowledge Base|/kb
16453,Internet Site Construction for Developers|/sitebuilder
16457,Products |/products
16457,Microsoft.com Search|/search
16457,MS Word Support|/mswordsupport
16457,Windows NT Server|/ntserver
16458,Developer Workshop|/workshop
16462,Microsoft.com Search|/search
16465,Products |/products
16465,Internet Explorer|/ie
16469,Free Downloads|/msdownload
16469,Internet Site Construction for Developers|/sitebuilder
16469,Microsoft.com Search|/search
16470,Free Downloads|/msdownload
16470,Windows95 Support|/windowssupport
16470,About Microsoft |/mscorp
16474,MS Word News|/word
16475,Internet Explorer|/ie
16476,Web Site Builder's Gallery|/gallery
16478,Products |/products
16480,Internet Explorer|/ie
16487,MS Office Info|/office
16492,Support Desktop|/support
16497,MS Access|/access
16501,isapi|/isapi
16504,Microsoft.com Search|/search
16506,Corporate Desktop Evaluation|/organizations
16506,Support Desktop|/support
16508,NT Server Support|/ntserversupport
16510,Free Downloads|/msdownload
16510,MS Word News|/word
16514,Microsoft.com Search|/search
16515,Internet Site Construction for Developers|/sitebuilder
16516,NetMeeting|/netmeeting
16516,Internet Explorer|/ie
16519,Windows95 Support|/windowssupport
16519,Windows Family of OSs|/windows
16524,Microsoft.com Search|/search
16525,Canada|/canada
16525,Job Openings|/jobs
16526,Products |/products
16526,Internet Explorer|/ie
16527,Free Downloads|/msdownload
16527,MS Publisher|/publisher
16528,Microsoft.com Search|/search
16531,Internet Site Construction for Developers|/sitebuilder
16531,Sales Information (infobase)|/salesinfo
16535,Microsoft.com Search|/search
16536,Internet Information Server|/iis
16537,Visual Basic|/vbasic
16537,Developer Network|/msdn
16539,regwiz|/regwiz
16541,Windows NT Server|/ntserver
16543,Typography Site|/truetype
16547,Windows NT Server|/ntserver
16550,Microsoft TV Program Information|/mstv
16550,Training|/train_cert
16553,Internet Explorer|/ie
16554,IT Technical Information|/syspro
16554,Corporate Desktop Evaluation|/organizations
16554,Microsoft.com Search|/search
16555,Internet Explorer|/ie
16559,Web Site Builder's Gallery|/gallery
16559,Microsoft.com Search|/search
16561,International IE content|/ie_intl
16561,isapi|/isapi
16562,MS PowerPoint News|/powerpoint
16564,Training|/train_cert
16565,SP Referral (ART)|/referral
16566,Free Downloads|/msdownload
16566,International IE content|/ie_intl
16570,Games|/games
16572,Internet Explorer|/ie
16573,Products |/products
16574,Free Downloads|/msdownload
16574,Internet Development|/intdev
16574,SiteBuilder Network Membership|/sbnmember
16574,Internet Site Construction for Developers|/sitebuilder
16574,Developer Workshop|/workshop
16575,Games|/games
16576,SiteBuilder Network Membership|/sbnmember
16577,Free Downloads|/msdownload
16577,Internet Explorer|/ie
16578,Free Downloads|/msdownload
16579,Games|/games
16581,Developer Network|/msdn
16584,MS Word|/msword
16584,isapi|/isapi
16587,Support Desktop|/support
16589,Executive Computing|/cio
16593,SP Referral (ART)|/referral
16595,regwiz|/regwiz
16595,Knowledge Base|/kb
16602,Free Downloads|/msdownload
16604,Free Downloads|/msdownload
16605,Microsoft.com Search|/search
16612,isapi|/isapi
16612,Windows NT Server|/ntserver
16612,Support Desktop|/support
16613,Internet Explorer|/ie
16616,Internet Explorer|/ie
16617,Microsoft.com Search|/search
16623,Free Downloads|/msdownload
16624,Free Downloads|/msdownload
16627,Internet Explorer|/ie
16629,Training|/train_cert
16641,Games|/games
16646,Windows Family of OSs|/windows
16647,regwiz|/regwiz
16655,NT Workstation Support|/ntwkssupport
16656,Free Downloads|/msdownload
16658,MS Site Builder Workshop|/activeplatform
16661,isapi|/isapi
16662,MS Excel|/excel
16665,Windows Family of OSs|/windows
16666,Taiwan|/taiwan
16668,Internet Explorer|/ie
16669,Internet Explorer|/ie
16672,About Microsoft |/mscorp
16672,Job Openings|/jobs
16674,Internet Explorer|/ie
16676,Office Free Stuff|/officefreestuff
16681,Internet Explorer|/ie
16686,Internet Explorer|/ie
16687,Microsoft.com Search|/search
16688,Windows Family of OSs|/windows
16692,MS Word|/msword
16692,isapi|/isapi
16693,Free Downloads|/msdownload
16696,WorldWide Offices - US Districts|/usa
16696,Internet Site Construction for Developers|/sitebuilder
16697,Free Downloads|/msdownload
16698,Web Site Builder's Gallery|/gallery
16698,IE Support|/iesupport
16701,Free Downloads|/msdownload
16703,Internet Development|/intdev
16703,Developer Network|/msdn
16703,Windows CE|/windowsce
16703,Free Downloads|/msdownload
16703,Internet Site Construction for Developers|/sitebuilder
16705,Support Desktop|/support
16709,Microsoft.com Search|/search
16710,Europe|/europe
16711,Windows Family of OSs|/windows
16711,NT Workstation Support|/ntwkssupport
16712,Windows Family of OSs|/windows
16714,Taiwan|/taiwan
16715,isapi|/isapi
16715,N. American Automap|/automap
16717,Products |/products
16719,Windows Family of OSs|/windows
16719,Microsoft.com Search|/search
16722,Microsoft.com Search|/search
16724,Products |/products
16724,MS PowerPoint|/mspowerpoint
16724,Internet Service Providers|/isp
16727,End User Produced View|/athome
16730,Windows Family of OSs|/windows
16732,promo|/promo
16732,Job Openings|/jobs
16733,International IE content|/ie_intl
16736,End User Produced View|/athome
16740,Free Downloads|/msdownload
16741,SP Referral (ART)|/referral
16745,MS Office Info|/office
16750,Free Downloads|/msdownload
16750,Games|/games
16751,Products |/products
16755,For Developers Only|/devonly
16756,Windows NT Server|/ntserver
16756,MS Office Info|/office
16756,Microsoft.com Search|/search
16756,Internet Explorer|/ie
16757,Sales Information (infobase)|/salesinfo
16757,isapi|/isapi
16758,Internet Explorer|/ie
16760,Windows Family of OSs|/windows
16760,Products |/products
16762,Internet Explorer|/ie
16763,Internet Site Construction for Developers|/sitebuilder
16765,Office Reference|/officereference
16765,Products |/products
16765,Internet Site Construction for Developers|/sitebuilder
16766,MS Proxy Server|/proxy
16766,NT Server Support|/ntserversupport
16771,Web Site Builder's Gallery|/gallery
16772,Support Desktop|/support
16774,Products |/products
16775,Windows95 Support|/windowssupport
16775,Products |/products
16776,Germany|/germany
16778,International IE content|/ie_intl
16778,Sweden|/sverige
16779,NT Workstation Support|/ntwkssupport
16780,Free Downloads|/msdownload
16781,Windows NT Server|/ntserver
16784,IE Support|/iesupport
16784,Support Desktop|/support
16785,Internet Explorer|/ie
16791,Windows CE|/windowsce
16791,Internet Information Server|/iis
16791,regwiz|/regwiz
16793,Windows Family of OSs|/windows
16794,Knowledge Base|/kb
16795,isapi|/isapi
16795,Internet Explorer|/ie
16796,Windows CE|/windowsce
16800,Microsoft.com Search|/search
16802,Free Downloads|/msdownload
16804,Taiwan|/taiwan
16805,Windows95 Support|/windowssupport
16806,Products |/products
